Percdeleted,AvgComKarma,TotalKarma,ComUpRatio,ContainsCant,ContainsDont,ContainsEveryone,ContainsAnyone,ContainsHappy,ContainsLove,AvgComLen,AvgWordLen,AvgCommTime,VoteTime,AvgVaderSentiment,post id,sub
0.045529649,16.29300054,62776,11.35395189,0.037682257,0.230827495,0.028782428,0.019125166,0.015906078,0.008521113,43.81689074,4.273979352,0.024075387,0.273350781,0.05191441,9lktoe,gatekeeping
0.026315789,12.40578187,62379,16.39395532,0.019708423,0.081533477,0.014578834,0.015928726,0.002159827,0.007289417,30.61285097,4.681153541,0.015747762,0.258168108,-0.041627538,fcgnwq,gatekeeping
0.075648222,6.604091144,62007,16.05567064,0.030176027,0.124895222,0.034087734,0.035484772,0.003073484,0.012573345,33.60547639,4.764920099,5.282210267,84.80942828,-0.096183738,dz4nja,gatekeeping
0.037473976,23.11864407,61723,41.84610169,0.050668543,0.134412386,0.022519353,0.026038001,0.004222379,0.021111893,41.03026038,4.635685373,2.9205993,122.2156953,0.076385574,bkwrd7,gatekeeping
0.054624909,31.27468707,61457,42.73783032,0.024211299,0.085840059,0.018341893,0.018341893,0.016140866,0.012472487,29.63609685,4.333663415,0.006050995,0.258606415,0.092317975,a5e1sl,gatekeeping
0.013435701,46.52621359,60365,117.2135922,0.003937008,0.015748031,0.001968504,0,0.001968504,0.00984252,9.059055118,4.682529335,0.00215303,0.252364344,0.018479528,c3at90,gatekeeping
0.028474576,19.50234114,59739,39.95919732,0.031658637,0.075017206,0.009635237,0.020646937,0.000688231,0.022711631,24.18857536,4.571615547,0.0064784,0.258871652,0.059197591,bylswx,gatekeeping
0.055096419,7.91407556,58092,19.4222668,0.019780996,0.080183681,0.022960085,0.014129283,0.003179089,0.01695514,25.71988697,4.651353467,0.011705783,0.227352839,-0.001785129,cfiwmu,gatekeeping
0.018275539,17.14597861,57894,26.91492329,0.027462121,0.083806818,0.027935606,0.028882576,0.006155303,0.018939394,33.015625,4.312839708,0.008769779,0.236037919,-0.025246922,bje6w9,gatekeeping
0.04535865,13.90963015,57802,20.16817865,0.026306175,0.094263792,0.022287176,0.019364267,0.005480453,0.035805627,35.88308367,4.644951737,0.012282799,0.247721689,0.020346876,g3mz0b,gatekeeping
